,entity
chicago,24427
evanston,14830
illinois,9794
new york,4344
michigan,3404
washington,3206
iowa,2816
wisconsin,2758
california,2709
ohio,2531
indiana,2523
calif.,2214
united states,2176
minnesota,1888
los angeles,1880
europe,1591
america,1590
new york city,1518
france,1463
wis.,1450
mich.,1405
ind.,1333
texas,1211
england,1206
germany,1132
detroit,1102
china,1083
milwaukee,959
san francisco,929
boston,892
paris,859
wilmette,822
minn.,798
kansas city,797
mo.,794
kansas,792
st. louis,792
florida,787
cleveland,778
seattle,773
missouri,772
minneapolis,754
fla.,747
india,746
london,735
denver,731
winnetka,723
japan,711
pa.,701
oak park,640
evanston campus,630
canada,610
tex.,604
pennsylvania,597
colorado,594
italy,591
u.s.,588
pittsburgh,576
mass.,569
wash.,560
springfield,551
virginia,546
philadelphia,540
oregon,533
peoria,531
portland,515
pasadena,511
hawaii,507
pacific,500
rockford,497
indianapolis,492
rochester,489
africa,489
oklahoma,484
nebraska,478
notre dame,478
n.y.,460
columbus,455
des moines,440
arizona,406
new jersey,405
montana,400
d.c.,400
cincinnati,394
honolulu,394
grand rapids,393
south dakota,391
la.,390
colo.,386
hollywood,374
scott hall,374
omaha,374
massachusetts,372
utah,362
wichita,362
dallas,355
phoenix,349
russia,347
mexico,334
san diego,331
